collectid,spp,sizeclass,count
485,gf,<BH,7
485,gf,<2.5,0
485,gf,<5,1
485,gf,<6,0
485,gf,<7,0
485,gf,<8,0
485,gf,<9,0
485,gf,<10,0
485,to,<BH,34
485,to,<2.5,11
485,to,<5,7
485,to,<6,0
485,to,<7,1
485,to,<8,0
485,to,<9,0
485,to,<10,0
485,rw,<BH,9
485,rw,<2.5,4
485,rw,<5,0
485,rw,<6,0
485,rw,<7,0
485,rw,<8,0
485,rw,<9,0
485,rw,<10,0
485,wm,<BH,0
485,wm,<2.5,0
485,wm,<5,1
485,wm,<6,0
485,wm,<7,2
485,wm,<8,0
485,wm,<9,0
485,wm,<10,0
481,df,<BH,63
481,df,<2.5,2
481,df,<5,1
481,df,<6,0
481,df,<7,0
481,df,<8,0
481,df,<9,0
481,df,<10,2
481,to,<BH,23
481,to,<2.5,10
481,to,<5,0
481,to,<6,1
481,to,<7,0
481,to,<8,0
481,to,<9,0
481,to,<10,0
481,gf,<BH,1
481,gf,<2.5,6
481,gf,<5,1
481,gf,<6,0
481,gf,<7,0
481,gf,<8,0
481,gf,<9,1
481,gf,<10,0
481,rw,<BH,0
481,rw,<2.5,12
481,rw,<5,2
481,rw,<6,0
481,rw,<7,0
481,rw,<8,0
481,rw,<9,0
481,rw,<10,0
481,md,<BH,0
481,md,<2.5,1
481,md,<5,0
481,md,<6,0
481,md,<7,0
481,md,<8,0
481,md,<9,0
481,md,<10,0
482,rw,<BH,6
482,rw,<2.5,10
482,rw,<5,4
482,rw,<6,0
482,rw,<7,0
482,rw,<8,1
482,rw,<9,1
482,rw,<10,0
482,to,<BH,4
482,to,<2.5,18
482,to,<5,11
482,to,<6,0
482,to,<7,1
482,to,<8,0
482,to,<9,0
482,to,<10,2
482,gf,<BH,1
482,gf,<2.5,3
482,gf,<5,4
482,gf,<6,0
482,gf,<7,1
482,gf,<8,0
482,gf,<9,1
482,gf,<10,0
482,df,<BH,3
482,df,<2.5,4
482,df,<5,0
482,df,<6,1
482,df,<7,1
482,df,<8,1
482,df,<9,2
482,df,<10,2
482,md,<BH,0
482,md,<2.5,1
482,md,<5,0
482,md,<6,0
482,md,<7,0
482,md,<8,0
482,md,<9,0
482,md,<10,0
482,wm,<BH,0
482,wm,<2.5,0
482,wm,<5,0
482,wm,<6,1
482,wm,<7,0
482,wm,<8,0
482,wm,<9,0
482,wm,<10,0
483,df,<BH,2
483,df,<2.5,8
483,df,<5,0
483,df,<6,6
483,df,<7,1
483,df,<8,1
483,df,<9,0
483,df,<10,1
483,to,<BH,11
483,to,<2.5,38
483,to,<5,0
483,to,<6,21
483,to,<7,1
483,to,<8,1
483,to,<9,0
483,to,<10,0
483,rw,<BH,0
483,rw,<2.5,0
483,rw,<5,0
483,rw,<6,1
483,rw,<7,0
483,rw,<8,0
483,rw,<9,1
483,rw,<10,0
483,gf,<BH,0
483,gf,<2.5,2
483,gf,<5,0
483,gf,<6,0
483,gf,<7,1
483,gf,<8,0
483,gf,<9,0
483,gf,<10,0
484,df,<BH,67
484,df,<2.5,0
484,df,<5,1
484,df,<6,0
484,df,<7,0
484,df,<8,0
484,df,<9,0
484,df,<10,0
484,gf,<BH,4
484,gf,<2.5,0
484,gf,<5,0
484,gf,<6,0
484,gf,<7,0
484,gf,<8,0
484,gf,<9,0
484,gf,<10,0
484,to,<BH,66
484,to,<2.5,39
484,to,<5,7
484,to,<6,3
484,to,<7,3
484,to,<8,0
484,to,<9,2
484,to,<10,3
378,to,<BH,44
378,to,<2.5,42
378,to,<5,3
378,to,<6,2
378,to,<7,0
378,to,<8,1
378,to,<9,0
378,to,<10,0
378,rw,<BH,10
378,rw,<2.5,61
378,rw,<5,22
378,rw,<6,1
378,rw,<7,1
378,rw,<8,3
378,rw,<9,2
378,rw,<10,4
378,df,<BH,4
378,df,<2.5,0
378,df,<5,6
378,df,<6,1
378,df,<7,0
378,df,<8,0
378,df,<9,2
378,df,<10,0
378,gf,<BH,0
378,gf,<2.5,1
378,gf,<5,0
378,gf,<6,0
