stageid,site,treatment,burn,plotnum,transectnum,azimuth,slope,diameter,decayclass,thoushrlen,notes
1,crib,m,nb,10,2,120,19,20.0,3,10,in skid
1,crib,m,nb,10,3,246,23,49.0,3,10,
1,crib,m,nb,3,1,0,12,11.2,4,10,
1,crib,m,nb,3,1,0,12,62.0,4,10,
1,crib,m,nb,3,1,0,12,13.0,3,10,
1,crib,m,nb,3,3,240,22,43.0,4,10,
1,crib,m,nb,3,3,240,22,17.0,3,10,
1,crib,m,nb,5,3,244,27,24.0,4,10,
1,crib,m,nb,5,3,244,27,8.2,5,10,
1,crib,m,nb,6,1,0,16,17.3,3,10,
1,crib,m,nb,6,3,240,4,9.9,4,10,
1,crib,np,b,10,1,0,14,19.0,3,10,
1,crib,np,b,10,2,120,18,7.7,3,10,
1,crib,np,b,10,3,240,5,16.4,3,10,
1,crib,np,b,12,1,0,7,20.4,3,10,
1,crib,np,b,12,1,0,7,29.0,4,10,
1,crib,np,b,12,1,0,7,29.2,4,10,
1,crib,np,b,12,1,0,7,9.3,3,10,
1,crib,np,b,12,1,0,7,9.0,4,10,
1,crib,np,b,12,1,0,7,8.4,3,10,
1,crib,np,b,12,1,0,7,9.4,3,10,
1,crib,np,b,12,2,120,26,23.6,5,10,
1,crib,np,b,12,3,240,36,14.8,4,10,
1,crib,np,b,17,1,0,6,15.9,4,10,
1,crib,np,b,17,2,137,24,47.6,4,10,
1,crib,np,b,17,3,240,43,8.2,4,10,
1,crib,np,b,17,3,240,43,13.0,5,10,
1,crib,np,b,2,1,0,30,8.3,3,10,
1,crib,np,b,4,1,0,19,14.0,4,10,
1,crib,np,b,4,1,0,19,9.0,5,10,
1,crib,np,b,4,2,120,38,9.0,4,10,
1,crib,np,b,4,2,120,38,8.1,4,10,
1,crib,np,b,4,2,120,38,12.0,5,10,
1,crib,np,b,4,2,120,38,10.8,4,10,
1,crib,np,b,4,3,240,31,30.0,4,10,
1,crib,np,b,4,3,240,31,22.0,3,10,
1,crib,np,b,4,3,240,31,24.0,4,10,
1,crib,np,b,4,3,240,31,17.5,2,10,
1,crib,np,nb,1,1,0,4,13.6,2,10,
1,crib,np,nb,1,2,120,2,19.6,3,10,
1,crib,np,nb,1,2,120,2,14.2,3,10,
1,crib,np,nb,1,2,120,2,10.2,3,10,
1,crib,np,nb,1,2,120,2,11.8,5,10,
1,crib,np,nb,1,3,240,14,14.5,2,10,all slope in last meter
1,crib,np,nb,1,3,240,14,17.2,2,10,all slope in last meter
1,crib,np,nb,12,1,0,12,110.0,5,10,
1,crib,np,nb,12,1,0,12,16.5,3,10,
1,crib,np,nb,12,1,0,12,8.3,3,10,
1,crib,np,nb,12,3,240,1,17.3,3,10,
1,crib,np,nb,7,1,0,18,10.3,3,10,
