stageid,site,treatment,burn,plotnum,spp,sizeclass,count,seedlingradius,saplingradius,notes
1,bob,ls,nb,9,to,<8,1,5.64,11.28,
1,bob,ls,nb,9,to,<9,2,5.64,11.28,
1,bob,ls,nb,9,to,<10,0,5.64,11.28,
1,bob,ls,nb,9,cb,<BH,2,5.64,11.28,
1,bob,ls,nb,9,cb,<2.5,0,5.64,11.28,
1,bob,ls,nb,9,cb,<5,4,5.64,11.28,
1,bob,ls,nb,9,cb,<6,2,5.64,11.28,
1,bob,ls,nb,9,cb,<7,0,5.64,11.28,
1,bob,ls,nb,9,cb,<8,1,5.64,11.28,
1,bob,ls,nb,9,cb,<9,0,5.64,11.28,
1,bob,ls,nb,9,cb,<10,0,5.64,11.28,
1,bob,ls,nb,9,df,<BH,6,5.64,11.28,
1,bob,ls,nb,9,df,<2.5,14,5.64,11.28,
1,bob,ls,nb,9,df,<5,4,5.64,11.28,
1,bob,ls,nb,9,df,<6,0,5.64,11.28,
1,bob,ls,nb,9,df,<7,0,5.64,11.28,
1,bob,ls,nb,9,df,<8,0,5.64,11.28,
1,bob,ls,nb,9,df,<9,0,5.64,11.28,
1,bob,ls,nb,9,df,<10,0,5.64,11.28,
1,bob,ls,nb,9,gf,<BH,1,5.64,11.28,
1,bob,ls,nb,9,gf,<2.5,0,5.64,11.28,
1,bob,ls,nb,9,gf,<5,1,5.64,11.28,
1,bob,ls,nb,9,gf,<6,0,5.64,11.28,
1,bob,ls,nb,9,gf,<7,0,5.64,11.28,
1,bob,ls,nb,9,gf,<8,0,5.64,11.28,
1,bob,ls,nb,9,gf,<9,1,5.64,11.28,
1,bob,ls,nb,9,gf,<10,0,5.64,11.28,
1,bob,ls,nb,9,sx,<BH,0,5.64,11.28,
1,bob,ls,nb,9,sx,<2.5,1,5.64,11.28,
1,bob,ls,nb,9,sx,<5,4,5.64,11.28,
1,bob,ls,nb,9,sx,<6,2,5.64,11.28,
1,bob,ls,nb,9,sx,<7,0,5.64,11.28,
1,bob,ls,nb,9,sx,<8,3,5.64,11.28,
1,bob,ls,nb,9,sx,<9,2,5.64,11.28,
1,bob,ls,nb,9,sx,<10,1,5.64,11.28,
1,bob,ls,nb,9,rw,<BH,0,5.64,11.28,
1,bob,ls,nb,9,rw,<2.5,0,5.64,11.28,
1,bob,ls,nb,9,rw,<5,0,5.64,11.28,
1,bob,ls,nb,9,rw,<6,0,5.64,11.28,
1,bob,ls,nb,9,rw,<7,0,5.64,11.28,
1,bob,ls,nb,9,rw,<8,0,5.64,11.28,
1,bob,ls,nb,9,rw,<9,1,5.64,11.28,
1,bob,ls,nb,9,rw,<10,1,5.64,11.28,
1,bob,ls,nb,3,rw,<BH,5,5.64,11.28,
1,bob,ls,nb,3,rw,<2.5,23,5.64,11.28,
1,bob,ls,nb,3,rw,<5,6,5.64,11.28,
1,bob,ls,nb,3,rw,<6,1,5.64,11.28,
1,bob,ls,nb,3,rw,<7,0,5.64,11.28,
1,bob,ls,nb,3,rw,<8,0,5.64,11.28,
1,bob,ls,nb,3,rw,<9,0,5.64,11.28,
1,bob,ls,nb,3,rw,<10,0,5.64,11.28,
1,bob,ls,nb,3,to,<BH,23,5.64,11.28,
1,bob,ls,nb,3,to,<2.5,41,5.64,11.28,
1,bob,ls,nb,3,to,<5,3,5.64,11.28,
1,bob,ls,nb,3,to,<6,1,5.64,11.28,
1,bob,ls,nb,3,to,<7,1,5.64,11.28,
1,bob,ls,nb,3,to,<8,1,5.64,11.28,
1,bob,ls,nb,3,to,<9,0,5.64,11.28,
1,bob,ls,nb,3,to,<10,0,5.64,11.28,
1,bob,ls,nb,3,gc,<BH,7,5.64,11.28,
1,bob,ls,nb,3,gc,<2.5,2,5.64,11.28,
1,bob,ls,nb,3,gc,<5,0,5.64,11.28,
1,bob,ls,nb,3,gc,<6,0,5.64,11.28,
1,bob,ls,nb,3,gc,<7,0,5.64,11.28,
1,bob,ls,nb,3,gc,<8,0,5.64,11.28,
1,bob,ls,nb,3,gc,<9,0,5.64,11.28,
1,bob,ls,nb,3,gc,<10,0,5.64,11.28,
1,bob,ls,nb,1,to,<BH,39,5.64,11.28,
1,bob,ls,nb,1,to,<2.5,87,5.64,11.28,
1,bob,ls,nb,1,to,<5,12,5.64,11.28,
1,bob,ls,nb,1,to,<6,1,5.64,11.28,
1,bob,ls,nb,1,to,<7,2,5.64,11.28,
1,bob,ls,nb,1,to,<8,2,5.64,11.28,
1,bob,ls,nb,1,to,<9,0,5.64,11.28,
1,bob,ls,nb,1,to,<10,0,5.64,11.28,
1,bob,ls,nb,1,df,<BH,1,5.64,11.28,
1,bob,ls,nb,1,df,<2.5,1,5.64,11.28,
1,bob,ls,nb,1,df,<5,0,5.64,11.28,
1,bob,ls,nb,1,df,<6,0,5.64,11.28,
1,bob,ls,nb,1,df,<7,0,5.64,11.28,
1,bob,ls,nb,1,df,<8,0,5.64,11.28,
1,bob,ls,nb,1,df,<9,0,5.64,11.28,
1,bob,ls,nb,1,df,<10,0,5.64,11.28,
1,bob,ls,nb,1,rw,<BH,0,5.64,11.28,
1,bob,ls,nb,1,rw,<2.5,0,5.64,11.28,
1,bob,ls,nb,1,rw,<5,0,5.64,11.28,
1,bob,ls,nb,1,rw,<6,0,5.64,11.28,
1,bob,ls,nb,1,rw,<7,0,5.64,11.28,
1,bob,ls,nb,1,rw,<8,0,5.64,11.28,
1,bob,ls,nb,1,rw,<9,1,5.64,11.28,
1,bob,ls,nb,1,rw,<10,0,5.64,11.28,
1,bob,ls,nb,6,to,<BH,11,5.64,11.28,
1,bob,ls,nb,6,to,<2.5,20,5.64,11.28,
1,bob,ls,nb,6,to,<5,6,5.64,11.28,
1,bob,ls,nb,6,to,<6,7,5.64,11.28,
1,bob,ls,nb,6,to,<7,1,5.64,11.28,
1,bob,ls,nb,6,to,<8,0,5.64,11.28,
1,bob,ls,nb,6,to,<9,1,5.64,11.28,
1,bob,ls,nb,6,to,<10,0,5.64,11.28,
1,bob,ls,nb,6,df,<BH,16,5.64,11.28,
1,bob,ls,nb,6,df,<2.5,47,5.64,11.28,
1,bob,ls,nb,6,df,<5,8,5.64,11.28,
1,bob,ls,nb,6,df,<6,0,5.64,11.28,
1,bob,ls,nb,6,df,<7,1,5.64,11.28,
1,bob,ls,nb,6,df,<8,0,5.64,11.28,
1,bob,ls,nb,6,df,<9,0,5.64,11.28,
1,bob,ls,nb,6,df,<10,0,5.64,11.28,
1,bob,ls,nb,6,rw,<BH,0,5.64,11.28,
1,bob,ls,nb,6,rw,<2.5,4,5.64,11.28,
1,bob,ls,nb,6,rw,<5,4,5.64,11.28,
1,bob,ls,nb,6,rw,<6,1,5.64,11.28,
1,bob,ls,nb,6,rw,<7,1,5.64,11.28,
1,bob,ls,nb,6,rw,<8,0,5.64,11.28,
1,bob,ls,nb,6,rw,<9,0,5.64,11.28,
1,bob,ls,nb,6,rw,<10,0,5.64,11.28,
1,bob,m,b,6,to,<BH,20,5.64,11.28,
1,bob,m,b,6,to,<2.5,53,5.64,11.28,
1,bob,m,b,6,to,<5,49,5.64,11.28,
1,bob,m,b,6,to,<6,13,5.64,11.28,
1,bob,m,b,6,to,<7,0,5.64,11.28,
1,bob,m,b,6,to,<8,4,5.64,11.28,
1,bob,m,b,6,to,<9,1,5.64,11.28,
1,bob,m,b,6,to,<10,1,5.64,11.28,
1,bob,m,b,6,df,<BH,3,5.64,11.28,
1,bob,m,b,6,df,<2.5,2,5.64,11.28,
1,bob,m,b,6,df,<5,0,5.64,11.28,
1,bob,m,b,6,df,<6,0,5.64,11.28,
1,bob,m,b,6,df,<7,0,5.64,11.28,
1,bob,m,b,6,df,<8,0,5.64,11.28,
1,bob,m,b,6,df,<9,0,5.64,11.28,
1,bob,m,b,6,df,<10,0,5.64,11.28,
1,bob,m,b,11,to,<BH,111,5.64,11.28,
1,bob,m,b,11,to,<2.5,28,5.64,11.28,
1,bob,m,b,11,to,<5,0,5.64,11.28,
1,bob,m,b,11,to,<6,4,5.64,11.28,
1,bob,m,b,11,to,<7,2,5.64,11.28,
1,bob,m,b,11,to,<8,0,5.64,11.28,
1,bob,m,b,11,to,<9,1,5.64,11.28,
1,bob,m,b,11,to,<10,0,5.64,11.28,
1,bob,m,b,11,gf,<BH,7,5.64,11.28,
1,bob,m,b,11,gf,<2.5,0,5.64,11.28,
1,bob,m,b,11,gf,<5,0,5.64,11.28,
1,bob,m,b,11,gf,<6,0,5.64,11.28,
1,bob,m,b,11,gf,<7,0,5.64,11.28,
1,bob,m,b,11,gf,<8,0,5.64,11.28,
1,bob,m,b,11,gf,<9,0,5.64,11.28,
1,bob,m,b,11,gf,<10,0,5.64,11.28,
1,bob,m,b,11,df,<BH,4,5.64,11.28,
1,bob,m,b,11,df,<2.5,0,5.64,11.28,
1,bob,m,b,11,df,<5,0,5.64,11.28,
1,bob,m,b,11,df,<6,0,5.64,11.28,
1,bob,m,b,11,df,<7,0,5.64,11.28,
1,bob,m,b,11,df,<8,0,5.64,11.28,
1,bob,m,b,11,df,<9,0,5.64,11.28,
1,bob,m,b,11,df,<10,0,5.64,11.28,
1,bob,m,b,11,rw,<BH,2,5.64,11.28,
1,bob,m,b,11,rw,<2.5,2,5.64,11.28,
1,bob,m,b,11,rw,<5,3,5.64,11.28,
1,bob,m,b,11,rw,<6,1,5.64,11.28,
1,bob,m,b,11,rw,<7,0,5.64,11.28,
1,bob,m,b,11,rw,<8,0,5.64,11.28,
1,bob,m,b,11,rw,<9,0,5.64,11.28,
1,bob,m,b,11,rw,<10,1,5.64,11.28,
1,bob,m,b,11,cb,<BH,6,5.64,11.28,
1,bob,m,b,11,cb,<2.5,2,5.64,11.28,
1,bob,m,b,11,cb,<5,0,5.64,11.28,
1,bob,m,b,11,cb,<6,0,5.64,11.28,
1,bob,m,b,11,cb,<7,0,5.64,11.28,
1,bob,m,b,11,cb,<8,0,5.64,11.28,
1,bob,m,b,11,cb,<9,0,5.64,11.28,
1,bob,m,b,11,cb,<10,0,5.64,11.28,
1,bob,m,b,7,to,<BH,17,5.64,11.28,
1,bob,m,b,7,to,<2.5,39,5.64,11.28,
1,bob,m,b,7,to,<5,3,5.64,11.28,
1,bob,m,b,7,to,<6,0,5.64,11.28,
1,bob,m,b,7,to,<7,0,5.64,11.28,
1,bob,m,b,7,to,<8,1,5.64,11.28,
1,bob,m,b,7,to,<9,2,5.64,11.28,
1,bob,m,b,7,to,<10,0,5.64,11.28,
1,bob,m,b,7,cb,<BH,1,5.64,11.28,
1,bob,m,b,7,cb,<2.5,0,5.64,11.28,
1,bob,m,b,7,cb,<5,0,5.64,11.28,
1,bob,m,b,7,cb,<6,0,5.64,11.28,
1,bob,m,b,7,cb,<7,0,5.64,11.28,
1,bob,m,b,7,cb,<8,0,5.64,11.28,
1,bob,m,b,7,cb,<9,0,5.64,11.28,
1,bob,m,b,7,cb,<10,0,5.64,11.28,
1,bob,m,b,7,rw,<BH,8,5.64,11.28,
1,bob,m,b,7,rw,<2.5,2,5.64,11.28,
1,bob,m,b,7,rw,<5,0,5.64,11.28,
1,bob,m,b,7,rw,<6,0,5.64,11.28,
1,bob,m,b,7,rw,<7,0,5.64,11.28,
1,bob,m,b,7,rw,<8,0,5.64,11.28,
1,bob,m,b,7,rw,<9,0,5.64,11.28,
1,bob,m,b,7,rw,<10,0,5.64,11.28,
1,bob,m,b,4,to,<BH,59,5.64,11.28,
1,bob,m,b,4,to,<2.5,44,5.64,11.28,
1,bob,m,b,4,to,<5,9,5.64,11.28,
1,bob,m,b,4,to,<6,3,5.64,11.28,
1,bob,m,b,4,to,<7,0,5.64,11.28,
1,bob,m,b,4,to,<8,0,5.64,11.28,
1,bob,m,b,4,to,<9,0,5.64,11.28,
1,bob,m,b,4,to,<10,0,5.64,11.28,
1,bob,m,b,4,rw,<BH,16,5.64,11.28,
1,bob,m,b,4,rw,<2.5,6,5.64,11.28,
1,bob,m,b,4,rw,<5,5,5.64,11.28,
1,bob,m,b,4,rw,<6,3,5.64,11.28,
1,bob,m,b,4,rw,<7,0,5.64,11.28,
1,bob,m,b,4,rw,<8,2,5.64,11.28,
1,bob,m,b,4,rw,<9,0,5.64,11.28,
1,bob,m,b,4,rw,<10,2,5.64,11.28,
1,bob,m,b,4,md,<BH,10,5.64,11.28,
1,bob,m,b,4,md,<2.5,0,5.64,11.28,
1,bob,m,b,4,md,<5,0,5.64,11.28,
1,bob,m,b,4,md,<6,0,5.64,11.28,
1,bob,m,b,4,md,<7,0,5.64,11.28,
1,bob,m,b,4,md,<8,0,5.64,11.28,
1,bob,m,b,4,md,<9,0,5.64,11.28,
1,bob,m,b,4,md,<10,0,5.64,11.28,
1,bob,m,b,4,df,<BH,3,5.64,11.28,
1,bob,m,b,4,df,<2.5,0,5.64,11.28,
1,bob,m,b,4,df,<5,0,5.64,11.28,
1,bob,m,b,4,df,<6,0,5.64,11.28,
1,bob,m,b,4,df,<7,0,5.64,11.28,
1,bob,m,b,4,df,<8,0,5.64,11.28,
1,bob,m,b,4,df,<9,0,5.64,11.28,
1,bob,m,b,4,df,<10,0,5.64,11.28,
1,bob,m,b,1,df,<BH,3,5.64,11.28,
1,bob,m,b,1,df,<2.5,7,5.64,11.28,
1,bob,m,b,1,df,<5,2,5.64,11.28,
1,bob,m,b,1,df,<6,0,5.64,11.28,
1,bob,m,b,1,df,<7,0,5.64,11.28,
1,bob,m,b,1,df,<8,0,5.64,11.28,
1,bob,m,b,1,df,<9,0,5.64,11.28,
1,bob,m,b,1,df,<10,0,5.64,11.28,
1,bob,m,b,1,to,<BH,33,5.64,11.28,
1,bob,m,b,1,to,<2.5,20,5.64,11.28,
1,bob,m,b,1,to,<5,4,5.64,11.28,
1,bob,m,b,1,to,<6,2,5.64,11.28,
1,bob,m,b,1,to,<7,0,5.64,11.28,
1,bob,m,b,1,to,<8,0,5.64,11.28,
1,bob,m,b,1,to,<9,0,5.64,11.28,
1,bob,m,b,1,to,<10,1,5.64,11.28,
1,bob,m,b,1,md,<BH,1,5.64,11.28,
1,bob,m,b,1,md,<2.5,0,5.64,11.28,
1,bob,m,b,1,md,<5,0,5.64,11.28,
1,bob,m,b,1,md,<6,0,5.64,11.28,
1,bob,m,b,1,md,<7,0,5.64,11.28,
1,bob,m,b,1,md,<8,0,5.64,11.28,
1,bob,m,b,1,md,<9,0,5.64,11.28,
1,bob,m,b,1,md,<10,0,5.64,11.28,
1,bob,m,b,1,gf,<BH,2,5.64,11.28,
1,bob,m,b,1,gf,<2.5,2,5.64,11.28,
1,bob,m,b,1,gf,<5,3,5.64,11.28,
1,bob,m,b,1,gf,<6,0,5.64,11.28,
1,bob,m,b,1,gf,<7,1,5.64,11.28,
1,bob,m,b,1,gf,<8,0,5.64,11.28,
1,bob,m,b,1,gf,<9,0,5.64,11.28,
1,bob,m,b,1,gf,<10,0,5.64,11.28,
1,bob,m,b,1,rw,<BH,0,5.64,11.28,
1,bob,m,b,1,rw,<2.5,4,5.64,11.28,
1,bob,m,b,1,rw,<5,0,5.64,11.28,
1,bob,m,b,1,rw,<6,0,5.64,11.28,
1,bob,m,b,1,rw,<7,0,5.64,11.28,
1,bob,m,b,1,rw,<8,0,5.64,11.28,
1,bob,m,b,1,rw,<9,0,5.64,11.28,
