stageid,site,treatment,burn,plotnum,treeid,distance,azimuth,notes
1,dun,ls,b,11,3411,6.8,358,dropped stage 2
1,dun,ls,b,11,3414,4.5,116,dropped stage 2
1,fair,ls,b,6,3444,3.3,290,
1,fair,ls,b,6,3450,3.6,126,
1,fair,ls,b,7,3517,1.5,295,
1,fair,ls,b,7,3501,5.3,196,
1,fair,m,b,2,3542,6.7,176,
1,fair,m,b,2,3552,7.7,264,
1,fair,m,nb,2,3400,3.7,55,
1,fair,m,nb,2,3379,7.3,222,
1,hare,ls,nb,3,3248,5.4,252,
1,hare,ls,nb,3,3262,3.7,43,
1,hare,ls,nb,5,3468,8.4,200,
1,hare,ls,nb,5,3477,1.6,38,
1,bob,ls,nb,5,211,4.4,320,
1,bob,ls,nb,5,213,5.1,34,
1,dun,ls,b,22,238,5.3,13,
1,dun,ls,b,22,248,6.8,141,
